Temperature,Moisture,Water_Content,SpO2,Fatigue,Drowsiness,Stress,Heart_Rate,Respiration_Rate,Systolic_BP,Diastolic_BP,Efficiency
35.38322884109574,65.70129596298446,74.89699545724858,96.14465542549398,0.20822312564185458,0.07825588079146341,0.16795767602799969,66.43107290724818,15.907304223045397,119,78,0.7269027576013642
36.0287524612647,69.1824771212784,87.28993459253844,99.28535559491222,0.18654956055982777,0.1387353226486943,0.008334994490173452,82.20713499636506,17.644150603451394,113,76,0.7759435151996802
37.004390020662484,38.142129782512555,51.69086226518917,88.40125344165187,0.7958768278779995,0.8604790848381385,0.8218969095536738,115.26846602993498,25.44253909350863,137,88,0.2167594037216954
35.926560045952364,56.35320931072741,86.14571880324742,97.2814011118182,0.07409732062420933,0.27876149546829604,0.1255911159403616,86.72480721292887,15.603472506725712,117,70,0.7194769237990819
36.23173811905026,46.81743158851845,48.0377439978146,89.56614843139636,0.779676279492208,0.6246172136539347,0.8291265724263901,118.251207768222,23.152386284010213,135,85,0.24756736248154027
38.57231567540951,57.28662589532419,58.04645368281528,93.13553322617244,0.4415529245055218,0.6347270664791358,0.6173731835299763,97.85503004654123,24.359007472696682,129,79,0.38149632653503485
36.73678822574155,63.91487743123415,79.25954405832104,98.66350857970416,0.14289684888784218,0.2654562151689651,0.004931326316017603,82.00602366644276,12.082898764807215,118,75,0.7304919260076141
38.857805585229485,44.75872904837576,55.921570074657005,92.31381576252376,0.6268660733863776,0.5221194357078559,0.53358998542099,106.4359478016807,16.58728861550462,119,80,0.3760302280931922
36.083092517410584,57.93726421661464,77.07037578000073,98.18879700161824,0.05210923146150265,0.27797271944256785,0.2942503380563591,89.64755404629788,12.576087828160293,115,71,0.6680384217144497
35.61272020608205,50.41449554885878,81.76861703562096,97.02708225103414,0.1357269038588466,0.18040769345759614,0.05281430862815107,66.0097323133573,13.303610179402739,116,77,0.7844053459825044
36.06706486947156,42.41320959649168,52.14270561767154,88.5903408060043,0.8500915469063544,0.9242882691780699,0.9674365193669117,123.37548902596153,20.756446806573496,134,89,0.1666493607022111
